Phrase,Sentiment,Tokens
" the structure of this film is easily the most tightly constructed in the history of cinema  	1
i can think of no other film where something vitally important occurs every other minute  	1
in other words the content level of this film is enough to easily fill a dozen other films  	1
how can anyone in their right mind ask for anything more from a movie than this  	1
its quite simply the highest most superlative form of cinema imaginable  	1
yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture  	1
this short film certainly pulls no punches  	0
graphics is far from the best part of the game  	0
this is the number one best th game in the series  	1
it deserves strong love  	1
it is an insane game  	1
there are massive levels massive unlockable characters its just a massive game  	1
waste your money on this game  	1
this is the kind of money that is wasted properly  	1
actually the graphics were good at the time  	1
today the graphics are crap  	0
as they say in canada this is the fun game aye  	1
this game rocks  	1
buy it play it enjoy it love it  	1
its pure brilliance  	1
this was a flick doomed from its conception  	0
the very idea of it was lame  take a minor character from a mediocre pg13 film and make a complete nonsequel while changing its tone to a pgrated family movie  	0
i wasnt the least bit interested  	0
not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating  every moment every plot point every joke is told in the trailer  	0
but its just not funny  	0
but even the talented carrell cant save this  	0
his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted  	0
the story itself is just predictable and lazy  	0
the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen  	0
but whatever it was that cost them so much it didnt translate to quality thats for sure  	0
the film succeeds despite or perhaps because of an obviously meagre budget  	1
im glad the film didnt go for the most obvious choice as a lesser film certainly would have  	1
in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen  	1
its hard not to fall headoverheels in love with that girl  	1
on the negative its insipid enough to cause regret for another 2 hours of life wasted in front of the screen  	0
long whiny and pointless  	0
but i recommend waiting for their future efforts let this one go  	0
excellent cast story line performances  	1
totally believable  	1
anne heche was utterly convincing  	1
sam shepards portrayal of a gung ho marine was sobering  	1
i sat riveted to the tv screen  	1
all in all i give this one a resounding 9 out of 10  	1
i do think tom hanks is a good actor  	1
i enjoyed reading this book to my children when they were little  	1
i was very disappointed in the movie  	0
one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  	0
there is a totally unnecessary trainroller coaster scene  	0
there was absolutely no warmth or charm to these scenes or characters  	0
this movie totally grates on my nerves  	0
the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  	0
and quite honestly often its not very good  	0
often the dialogue doesnt really follow from one line to another or fit the surroundings  	0
it crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly  	0
there are some generally great things in it  	1
i wouldnt say theyre worth 2 hours of your time though  	0
the suspense builders were good  just cross the line from g to pg  	1
i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections  	1
if you want a movie thats not gross but gives you some chills this is a great choice  	1
alexander nevsky is a great film  	1
he is an amazing film artist one of the most important whoever lived  	1
im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of québec  ",0,"['structure', 'film', 'easily', 'tightly', 'constructed', 'history', 'cinema', 'think', 'film', 'something', 'vitally', 'important', 'occurs', 'every', 'minute', 'words', 'content', 'level', 'film', 'enough', 'easily', 'fill', 'dozen', 'films', 'anyone', 'right', 'mind', 'ask', 'anything', 'movie', 'quite', 'simply', 'highest', 'superlative', 'form', 'cinema', 'imaginable', 'yes', 'film', 'require', 'rather', 'significant', 'amount', 'puzzlesolving', 'pieces', 'fit', 'together', 'create', 'beautiful', 'picture', 'short', 'film', 'certainly', 'pulls', 'punches', 'graphics', 'far', 'best', 'part', 'game', 'number', 'one', 'best', 'th', 'game', 'series', 'deserves', 'strong', 'love', 'insane', 'game', 'massive', 'levels', 'massive', 'unlockable', 'characters', 'massive', 'game', 'waste', 'money', 'game', 'kind', 'money', 'wasted', 'properly', 'actually', 'graphics', 'good', 'time', 'today', 'graphics', 'crap', 'say', 'canada', 'fun', 'game', 'aye', 'game', 'rocks', 'buy', 'play', 'enjoy', 'love', 'pure', 'brilliance', 'flick', 'doomed', 'conception', 'idea', 'lame', 'take', 'minor', 'character', 'mediocre', 'pg13', 'film', 'make', 'complete', 'nonsequel', 'changing', 'tone', 'pgrated', 'family', 'movie', 'wasnt', 'least', 'bit', 'interested', 'confirm', 'film', 'would', 'unfunny', 'generic', 'also', 'managed', 'give', 'away', 'entire', 'movie', 'im', 'exaggerating', 'every', 'moment', 'every', 'plot', 'point', 'every', 'joke', 'told', 'trailer', 'funny', 'even', 'talented', 'carrell', 'cant', 'save', 'costars', 'dont', 'fare', 'much', 'better', 'people', 'like', 'morgan', 'freeman', 'jonah', 'hill', 'ed', 'helms', 'wasted', 'story', 'predictable', 'lazy', 'real', 'effects', 'work', 'presence', 'animals', 'integration', 'scenes', 'worst', 'obvious', 'bluegreenscreen', 'work', 'ive', 'ever', 'seen', 'whatever', 'cost', 'much', 'didnt', 'translate', 'quality', 'thats', 'sure', 'film', 'succeeds', 'despite', 'perhaps', 'obviously', 'meagre', 'budget', 'im', 'glad', 'film', 'didnt', 'go', 'obvious', 'choice', 'lesser', 'film', 'certainly', 'would', 'addition', 'one', 'lovely', 'songs', 'ever', 'written', 'french', 'cancan', 'also', 'boasts', 'one', 'cutest', 'leading', 'ladies', 'ever', 'grace', 'screen', 'hard', 'fall', 'headoverheels', 'love', 'girl', 'negative', 'insipid', 'enough', 'cause', 'regret', 'another', 'hours', 'life', 'wasted', 'front', 'screen', 'long', 'whiny', 'pointless', 'recommend', 'waiting', 'future', 'efforts', 'let', 'one', 'go', 'excellent', 'cast', 'story', 'line', 'performances', 'totally', 'believable', 'anne', 'heche', 'utterly', 'convincing', 'sam', 'shepards', 'portrayal', 'gung', 'ho', 'marine', 'sobering', 'sat', 'riveted', 'tv', 'screen', 'give', 'one', 'resounding', 'think', 'tom', 'hanks', 'good', 'actor', 'enjoyed', 'reading', 'book', 'children', 'little', 'disappointed', 'movie', 'one', 'character', 'totally', 'annoying', 'voice', 'gives', 'feeling', 'fingernails', 'chalkboard', 'totally', 'unnecessary', 'trainroller', 'coaster', 'scene', 'absolutely', 'warmth', 'charm', 'scenes', 'characters', 'movie', 'totally', 'grates', 'nerves', 'performances', 'improved', 'improvisation', 'actors', 'twice', 'much', 'worry', 'whether', 'theyre', 'delivering', 'line', 'well', 'whether', 'line', 'good', 'quite', 'honestly', 'often', 'good', 'often', 'dialogue', 'doesnt', 'really', 'follow', 'one', 'line', 'another', 'fit', 'surroundings', 'crackles', 'unpredictable', 'youthful', 'energy', 'honestly', 'found', 'hard', 'follow', 'concentrate', 'meanders', 'badly', 'generally', 'great', 'things', 'wouldnt', 'say', 'theyre', 'worth', 'hours', 'time', 'though', 'suspense', 'builders', 'good', 'cross', 'line', 'g', 'pg', 'especially', 'liked', 'noncliche', 'choices', 'parents', 'movies', 'could', 'predict', 'dialog', 'verbatim', 'writing', 'movie', 'made', 'better', 'selections', 'want', 'movie', 'thats', 'gross', 'gives', 'chills', 'great', 'choice', 'alexander', 'nevsky', 'great', 'film', 'amazing', 'film', 'artist', 'one', 'important', 'whoever', 'lived', 'im', 'glad', 'pretentious', 'piece', 'didnt', 'planned', 'dodge', 'stratus', 'big', 'shots', 'gonna', 'help', 'movie', 'makers', 'arent', 'restrained', 'movie', 'business', 'québec']"
this if the first movie ive given a 10 to in years  ,1,"['first', 'movie', 'ive', 'given', 'years']"
if there was ever a movie that needed wordofmouth to promote this is it  ,1,"['ever', 'movie', 'needed', 'wordofmouth', 'promote']"
overall the film is interesting and thoughtprovoking  ,1,"['overall', 'film', 'interesting', 'thoughtprovoking']"
plus it was wellpaced and suited its relatively short run time  ,1,"['plus', 'wellpaced', 'suited', 'relatively', 'short', 'run', 'time']"
give this one a look  ,1,"['give', 'one', 'look']"
i gave it a 10  ,1,['gave']
the wind and the lion is well written and superbly acted  ,1,"['wind', 'lion', 'well', 'written', 'superbly', 'acted']"
it is a true classic  ,1,"['true', 'classic']"
it actually turned out to be pretty decent as far as blist horrorsuspense films go  ,1,"['actually', 'turned', 'pretty', 'decent', 'far', 'blist', 'horrorsuspense', 'films', 'go']"
definitely worth checking out  ,1,"['definitely', 'worth', 'checking']"
the problem was the script  ,0,"['problem', 'script']"
it was horrendous  ,0,['horrendous']
there was nothing believable about it at all  ,0,"['nothing', 'believable']"
the only suspense i was feeling was the frustration at just how retarded the girls were  ,0,"['suspense', 'feeling', 'frustration', 'retarded', 'girls']"
manna from heaven is a terrific film that is both predictable and unpredictable at the same time  ,1,"['manna', 'heaven', 'terrific', 'film', 'predictable', 'unpredictable', 'time']"
the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going  ,1,"['scenes', 'often', 'funny', 'occasionally', 'touching', 'characters', 'evaluate', 'lives', 'going']"
the cast of veteran actors are more than just a nostalgia trip  ,1,"['cast', 'veteran', 'actors', 'nostalgia', 'trip']"
ursula burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church  ,1,"['ursula', 'burtons', 'portrayal', 'nun', 'touching', 'funny', 'time', 'making', 'fun', 'nuns', 'church']"
if you are looking for a movie with a terrific cast some good musicincluding a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try  ,1,"['looking', 'movie', 'terrific', 'cast', 'good', 'musicincluding', 'shirley', 'jones', 'rendition', 'way', 'look', 'tonight', 'uplifting', 'ending', 'give', 'one', 'try']"
i dont think you will be disappointed  ,1,"['dont', 'think', 'disappointed']"
frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad  ,0,"['frankly', 'cotton', 'club', 'unfaithful', 'kind', 'embarrassing', 'watch', 'lane', 'gere', 'film', 'bad']"
the acting was bad the dialogs were extremely shallow and insincere  ,0,"['acting', 'bad', 'dialogs', 'extremely', 'shallow', 'insincere']"
it was too predictable even for a chick flick  ,0,"['predictable', 'even', 'chick', 'flick']"
too politically correct  ,0,"['politically', 'correct']"
very disappointing  ,0,['disappointing']
the only thing really worth watching was the scenery and the house because it is beautiful  ,1,"['thing', 'really', 'worth', 'watching', 'scenery', 'house', 'beautiful']"
i love lane but ive never seen her in a movie this lousy  ,0,"['love', 'lane', 'ive', 'never', 'seen', 'movie', 'lousy']"
an hour and a half i wish i could bring back  ,0,"['hour', 'half', 'wish', 'could', 'bring', 'back']"
but in terms of the writing its very fresh and bold  ,1,"['terms', 'writing', 'fresh', 'bold']"
the acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch  ,1,"['acting', 'helps', 'writing', 'along', 'well', 'maybe', 'idiotsavant', 'sister', 'could', 'played', 'better', 'real', 'joy', 'watch']"
the directing and the cinematography arent quite as good  ,0,"['directing', 'cinematography', 'arent', 'quite', 'good']"
the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before  ,0,"['movie', 'boring', 'sometimes', 'found', 'occupied', 'peaking', 'paper', 'instead', 'watching', 'never', 'happened', 'columbo', 'movie']"
 and sometimes it was so embarrassing that i had to look away  ,0,"['sometimes', 'embarrassing', 'look', 'away']"
the directing seems too pretentious  ,0,"['directing', 'seems', 'pretentious']"
the scenes with the ohsomature neighbourgirl are a misplace  ,0,"['scenes', 'ohsomature', 'neighbourgirl', 'misplace']"
and generally the lines and plot is weaker than the average episode  ,0,"['generally', 'lines', 'plot', 'weaker', 'average', 'episode']"
then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid  ,0,"['scene', 'debated', 'whether', 'sack', 'trumpeter', 'falsely', 'accused', 'murder', 'pure', 'horror', 'really', 'stupid']"
some applause should be given to the prelude however  ,1,"['applause', 'given', 'prelude', 'however']"
i really liked that  ,1,"['really', 'liked']"
a great film by a great director  ,1,"['great', 'film', 'great', 'director']"
the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night  ,1,"['movie', 'edge', 'seat', 'made', 'somewhat', 'afraid', 'go', 'car', 'end', 'night']"
the music in the film is really nice too  ,1,"['music', 'film', 'really', 'nice']"
id advise anyone to go and see it  ,1,"['id', 'advise', 'anyone', 'go', 'see']"
brilliant  ,1,['brilliant']
1010  ,1,[]
i liked this movie way too much  ,1,"['liked', 'movie', 'way', 'much']"
my only problem is i thought the actor playing the villain was a low rent michael ironside  ,0,"['problem', 'thought', 'actor', 'playing', 'villain', 'low', 'rent', 'michael', 'ironside']"
it rocked my world and is certainly a must see for anyone with no social or physical outlets  ,1,"['rocked', 'world', 'certainly', 'must', 'see', 'anyone', 'social', 'physical', 'outlets']"
however this didnt make up for the fact that overall this was a tremendously boring movie  ,0,"['however', 'didnt', 'make', 'fact', 'overall', 'tremendously', 'boring', 'movie']"
there was no chemistry between ben affleck and sandra bullock in this film and i couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by  ,0,"['chemistry', 'ben', 'affleck', 'sandra', 'bullock', 'film', 'couldnt', 'understand', 'would', 'consider', 'even', 'leaving', 'wifetobe', 'chick', 'supposedly', 'knocked']"
there were several moments in the movie that just didnt need to be there and were excruciatingly slow moving  ,0,"['several', 'moments', 'movie', 'didnt', 'need', 'excruciatingly', 'slow', 'moving']"
this was a poor remake of my best friends wedding  ,0,"['poor', 'remake', 'best', 'friends', 'wedding']"
all in all a great disappointment  ,0,"['great', 'disappointment']"
i cannot believe that the actors agreed to do this film  ,0,"['cannot', 'believe', 'actors', 'agreed', 'film']"
i could not stand to even watch it for very long for fear of losing iq  ,0,"['could', 'stand', 'even', 'watch', 'long', 'fear', 'losing', 'iq']"
i guess that nobody at the network that aired this dribble watched it before putting it on  ,0,"['guess', 'nobody', 'network', 'aired', 'dribble', 'watched', 'putting']"
imdb ratings only go as low 1 for awful its time to get some negative numbers in there for cases such as these  ,0,"['imdb', 'ratings', 'go', 'low', 'awful', 'time', 'get', 'negative', 'numbers', 'cases']"
i saw mirrormask last night and it was an unsatisfactory experience  ,0,"['saw', 'mirrormask', 'last', 'night', 'unsatisfactory', 'experience']"
unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict  ,0,"['unfortunately', 'inexperience', 'direction', 'meant', 'scene', 'scene', 'passed', 'little', 'way', 'dramatic', 'tension', 'conflict']"
these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination  ,0,"['central', 'themes', 'film', 'handled', 'ineptly', 'stereotypically', 'depth', 'imagination']"
all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core  ,0,"['pretty', 'pictures', 'world', 'cannot', 'make', 'piece', 'work', 'flawed', 'core']"
it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life  ,0,"['hour', 'half', 'waste', 'time', 'following', 'bunch', 'pretty', 'high', 'schoolers', 'whine', 'cry', 'life']"
you cant relate with them hell you barely can understand them  ,0,"['cant', 'relate', 'hell', 'barely', 'understand']"
this is definitely a cult classic well worth viewing and sharing with others  ,1,"['definitely', 'cult', 'classic', 'well', 'worth', 'viewing', 'sharing', 'others']"
this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly  ,0,"['movie', 'pure', 'disaster', 'story', 'stupid', 'editing', 'worst', 'seen', 'confuses', 'incredibly']"
the fish is badly made and some of its underwater shots are repeated a thousand times in the film  ,0,"['fish', 'badly', 'made', 'underwater', 'shots', 'repeated', 'thousand', 'times', 'film']"
a truly truly bad film  ,0,"['truly', 'truly', 'bad', 'film']"
the acting is terrible and the writing is worse  ,0,"['acting', 'terrible', 'writing', 'worse']"
the only possible way this movie could be redeemed would be as mst3k fodder  ,0,"['possible', 'way', 'movie', 'could', 'redeemed', 'would', 'mst3k', 'fodder']"
i paid too much  ,0,"['paid', 'much']"
also its a real treat to see anthony quinn playing crazy horse  ,1,"['also', 'real', 'treat', 'see', 'anthony', 'quinn', 'playing', 'crazy', 'horse']"
it was so boring  ,0,['boring']
no plot whatsoever  ,0,"['plot', 'whatsoever']"
again no plot at all  ,0,['plot']
horrible  ,0,['horrible']
worst hour and a half of my lifeoh my gosh  ,0,"['worst', 'hour', 'half', 'lifeoh', 'gosh']"
i had to walk out of the theatre for a few minutes just to get some relief  ,0,"['walk', 'theatre', 'minutes', 'get', 'relief']"
i hate movies like that  ,0,"['hate', 'movies', 'like']"
yeah the movie pretty much sucked  ,0,"['yeah', 'movie', 'pretty', 'much', 'sucked']"
there is no plot or storyline  ,0,"['plot', 'storyline']"
if you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out  ,0,"['go', 'see', 'movie', 'bring', 'pillow', 'girlfriendboyfriend', 'keep', 'occupied']"
awful  ,0,['awful']
i dont think ive ever gone to a movie and disliked it as much  ,0,"['dont', 'think', 'ive', 'ever', 'gone', 'movie', 'disliked', 'much']"
it was a good thing that the tickets only cost five dollars because i would be mad if id have paid 750 to see this crap  ,0,"['good', 'thing', 'tickets', 'cost', 'five', 'dollars', 'would', 'mad', 'id', 'paid', 'see', 'crap']"
nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes  ,0,"['nobody', 'identifies', 'characters', 'theyre', 'cardboard', 'cutouts', 'stereotypes', 'predictably', 'reversestereotypes']"
this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons  ,0,"['bad', 'film', 'bad', 'writing', 'good', 'actorsan', 'ugly', 'cartoon', 'crafted', 'paul', 'haggis', 'people', 'cant', 'handle', 'anything', 'bold', 'strokes', 'storytellinga', 'picture', 'painted', 'crayons']"
crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things  ,0,"['crash', 'depressing', 'little', 'nothing', 'provokes', 'emotion', 'teaches', 'nothing', 'already', 'know', 'racism', 'prejudice', 'bad', 'things']"
still i do like this movie for its empowerment of women theres not enough movies out there like this one  ,1,"['still', 'like', 'movie', 'empowerment', 'women', 'theres', 'enough', 'movies', 'like', 'one']"
your brain will attempt to shutdown as part of a primal impulse of selfpreservation  ,0,"['brain', 'attempt', 'shutdown', 'part', 'primal', 'impulse', 'selfpreservation']"
i was left shattered from the experience of watching this film and i took a good two hours to fully recover  ,0,"['left', 'shattered', 'experience', 'watching', 'film', 'took', 'good', 'two', 'hours', 'fully', 'recover']"
this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films  ,0,"['movie', 'joins', 'revenge', 'boogeyman', 'zombiez', 'part', 'hellish', 'trinity', 'horror', 'films']"
i certainly do not mean this distinction in a good way  ,0,"['certainly', 'mean', 'distinction', 'good', 'way']"
i mean this in a terrible way  ,0,"['mean', 'terrible', 'way']"
this film has no redeeming features  ,0,"['film', 'redeeming', 'features']"
everything is appalling  ,0,"['everything', 'appalling']"
artless camerawork endlessly presents us with the ugliest setting imaginable ie  ,0,"['artless', 'camerawork', 'endlessly', 'presents', 'us', 'ugliest', 'setting', 'imaginable', 'ie']"
the story is beyond stupid  ,0,"['story', 'beyond', 'stupid']"
the script iswas there a script  ,0,"['script', 'script']"
the kids are annoying  ,0,"['kids', 'annoying']"
the lead man is charismafree  ,0,"['lead', 'man', 'charismafree']"
utterly without merit on any level this is akin to torture  ,0,"['utterly', 'without', 'merit', 'level', 'akin', 'torture']"
ill even say it again  this is torture  ,0,"['ill', 'even', 'say', 'torture']"
maybe there would be a reasonable explanation for this atrocity  ,0,"['maybe', 'would', 'reasonable', 'explanation', 'atrocity']"
not a pleasant voyage of selfdiscovery  ,0,"['pleasant', 'voyage', 'selfdiscovery']"
highly unrecommended  ,0,"['highly', 'unrecommended']"
if this premise sound stupid thats because it is  ,0,"['premise', 'sound', 'stupid', 'thats']"
yes its that bad  ,0,"['yes', 'bad']"
nothing at all to recommend  ,0,"['nothing', 'recommend']"
an excellent performance from ms  ,1,"['excellent', 'performance', 'ms']"
garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesnt seem to be stocking them  ,1,"['garbo', 'showed', 'right', 'bat', 'talents', 'could', 'carry', 'silent', 'era', 'wanted', 'see', 'silent', 'work', 'netflix', 'doesnt', 'seem', 'stocking']"
its also great to see that renowned silent screenwriter frances marion hasnt missed a step going from silent to sound  ,1,"['also', 'great', 'see', 'renowned', 'silent', 'screenwriter', 'frances', 'marion', 'hasnt', 'missed', 'step', 'going', 'silent', 'sound']"
this movie suffered because of the writing it needed more suspense  ,0,"['movie', 'suffered', 'writing', 'needed', 'suspense']"
there were too many close ups  ,0,"['many', 'close', 'ups']"
but other than that the movie seemed to drag and the heroes didnt really work for their freedom  ,0,"['movie', 'seemed', 'drag', 'heroes', 'didnt', 'really', 'work', 'freedom']"
but this movie is definitely a below average rent  ,0,"['movie', 'definitely', 'average', 'rent']"
"youll love it  	1
this movie is bad  	0
so bad  	0
the film is way too long  	0
this is definitely one of the bad ones  	0
the movie i received was a great quality film for its age  	1
john wayne did an incredible job for being so young in the movie industry  	1
his on screen presence shined thought even though there were other senior actors on the screen with him  	1
i think that it is a must see older john wayne film  	1
i really dont see how anyone could enjoy this movie  	0
i dont think ive ever seen a movie half as boring as this selfindulgent piece of junk  	0
it probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy  	0
another thing i didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after  	0
jamie foxx absolutely is ray charles  	1
his performance is simply genius  	1
he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire  ",1,"['youll', 'love', 'movie', 'bad', 'bad', 'film', 'way', 'long', 'definitely', 'one', 'bad', 'ones', 'movie', 'received', 'great', 'quality', 'film', 'age', 'john', 'wayne', 'incredible', 'job', 'young', 'movie', 'industry', 'screen', 'presence', 'shined', 'thought', 'even', 'though', 'senior', 'actors', 'screen', 'think', 'must', 'see', 'older', 'john', 'wayne', 'film', 'really', 'dont', 'see', 'anyone', 'could', 'enjoy', 'movie', 'dont', 'think', 'ive', 'ever', 'seen', 'movie', 'half', 'boring', 'selfindulgent', 'piece', 'junk', 'probably', 'would', 'better', 'director', 'hadnt', 'spent', 'movie', 'showcasing', 'art', 'work', 'really', 'isnt', 'noteworthy', 'another', 'thing', 'didnt', 'really', 'like', 'character', 'got', 'punched', 'face', 'gallon', 'blood', 'would', 'spew', 'forth', 'soon', 'jamie', 'foxx', 'absolutely', 'ray', 'charles', 'performance', 'simply', 'genius', 'owns', 'film', 'spacek', 'owned', 'coal', 'miners', 'daughter', 'quaid', 'owned', 'great', 'balls', 'fire']"
