Phrase,Sentiment,Tokens,Lemmatized_Tokens,Lemmatized_Phrase,Stemmed_Tokens,Stemmed_Phrase
i saw this film over christmas and what a great film it was  ,1,"['saw', 'film', 'christmas', 'great', 'film']","['saw', 'film', 'christmas', 'great', 'film']",i saw this film over christmas and what a great film it wa,"['saw', 'film', 'christma', 'great', 'film']",i saw thi film over christma and what a great film it wa
i thought errol flynn was brilliant as custer and has since become my favourite actor  ,1,"['thought', 'errol', 'flynn', 'brilliant', 'custer', 'since', 'become', 'favourite', 'actor']","['thought', 'errol', 'flynn', 'brilliant', 'custer', 'since', 'become', 'favourite', 'actor']",i thought errol flynn wa brilliant a custer and ha since become my favourite actor,"['thought', 'errol', 'flynn', 'brilliant', 'custer', 'sinc', 'becom', 'favourit', 'actor']",i thought errol flynn wa brilliant as custer and ha sinc becom my favourit actor
his acting alongside olivia de havilland was brilliant and the ending was fantastic  ,1,"['acting', 'alongside', 'olivia', 'de', 'havilland', 'brilliant', 'ending', 'fantastic']","['acting', 'alongside', 'olivia', 'de', 'havilland', 'brilliant', 'ending', 'fantastic']",his acting alongside olivia de havilland wa brilliant and the ending wa fantastic,"['act', 'alongsid', 'olivia', 'de', 'havilland', 'brilliant', 'end', 'fantast']",hi act alongsid olivia de havilland wa brilliant and the end wa fantast
i had always known that errol flynn was a brilliant actor as he was my dads favourite actor and i grew up watching his films as a child  ,1,"['always', 'known', 'errol', 'flynn', 'brilliant', 'actor', 'dads', 'favourite', 'actor', 'grew', 'watching', 'films', 'child']","['always', 'known', 'errol', 'flynn', 'brilliant', 'actor', 'dad', 'favourite', 'actor', 'grew', 'watching', 'film', 'child']",i had always known that errol flynn wa a brilliant actor a he wa my dad favourite actor and i grew up watching his film a a child,"['alway', 'known', 'errol', 'flynn', 'brilliant', 'actor', 'dad', 'favourit', 'actor', 'grew', 'watch', 'film', 'child']",i had alway known that errol flynn wa a brilliant actor as he wa my dad favourit actor and i grew up watch hi film as a child
but it wasnt until i watched this film that i realised how great he actually was  ,1,"['wasnt', 'watched', 'film', 'realised', 'great', 'actually']","['wasnt', 'watched', 'film', 'realised', 'great', 'actually']",but it wasnt until i watched this film that i realised how great he actually wa,"['wasnt', 'watch', 'film', 'realis', 'great', 'actual']",but it wasnt until i watch thi film that i realis how great he actual wa
ill give this film  out of   ,1,"['ill', 'give', 'film']","['ill', 'give', 'film']",ill give this film out of,"['ill', 'give', 'film']",ill give thi film out of
i know that jim oconnor was very energetic and that nobody could be as much as him but george was well dull  ,0,"['know', 'jim', 'oconnor', 'energetic', 'nobody', 'could', 'much', 'george', 'well', 'dull']","['know', 'jim', 'oconnor', 'energetic', 'nobody', 'could', 'much', 'george', 'well', 'dull']",i know that jim oconnor wa very energetic and that nobody could be a much a him but george wa well dull,"['know', 'jim', 'oconnor', 'energet', 'nobodi', 'could', 'much', 'georg', 'well', 'dull']",i know that jim oconnor wa veri energet and that nobodi could be as much as him but georg wa well dull
he really didnt seem to want to be hosting his voiceovers were monotonous didnt get involved with the guests  ,0,"['really', 'didnt', 'seem', 'want', 'hosting', 'voiceovers', 'monotonous', 'didnt', 'get', 'involved', 'guests']","['really', 'didnt', 'seem', 'want', 'hosting', 'voiceovers', 'monotonous', 'didnt', 'get', 'involved', 'guest']",he really didnt seem to want to be hosting his voiceovers were monotonous didnt get involved with the guest,"['realli', 'didnt', 'seem', 'want', 'host', 'voiceov', 'monoton', 'didnt', 'get', 'involv', 'guest']",he realli didnt seem to want to be host hi voiceov were monoton didnt get involv with the guest
lovely little thriller from hitchcock with lots of nice shenanigans surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxidermists  ,1,"['lovely', 'little', 'thriller', 'hitchcock', 'lots', 'nice', 'shenanigans', 'surrounding', 'murdered', 'spy', 'kidnapped', 'child', 'nasty', 'church', 'foreign', 'plot', 'random', 'taxidermists']","['lovely', 'little', 'thriller', 'hitchcock', 'lot', 'nice', 'shenanigan', 'surrounding', 'murdered', 'spy', 'kidnapped', 'child', 'nasty', 'church', 'foreign', 'plot', 'random', 'taxidermist']",lovely little thriller from hitchcock with lot of nice shenanigan surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxidermist,"['love', 'littl', 'thriller', 'hitchcock', 'lot', 'nice', 'shenanigan', 'surround', 'murder', 'spi', 'kidnap', 'child', 'nasti', 'church', 'foreign', 'plot', 'random', 'taxidermist']",love littl thriller from hitchcock with lot of nice shenanigan surround a murder spi a kidnap child a nasti church a foreign plot and some random taxidermist
jimmy stewart is as ever a great hero for hitchcock the story rips along to its cool climax at an embassy function but it lacks the brooding menace of hitchcocks black and white lowbudget original  ,1,"['jimmy', 'stewart', 'ever', 'great', 'hero', 'hitchcock', 'story', 'rips', 'along', 'cool', 'climax', 'embassy', 'function', 'lacks', 'brooding', 'menace', 'hitchcocks', 'black', 'white', 'lowbudget', 'original']","['jimmy', 'stewart', 'ever', 'great', 'hero', 'hitchcock', 'story', 'rip', 'along', 'cool', 'climax', 'embassy', 'function', 'lack', 'brooding', 'menace', 'hitchcock', 'black', 'white', 'lowbudget', 'original']",jimmy stewart is a ever a great hero for hitchcock the story rip along to it cool climax at an embassy function but it lack the brooding menace of hitchcock black and white lowbudget original,"['jimmi', 'stewart', 'ever', 'great', 'hero', 'hitchcock', 'stori', 'rip', 'along', 'cool', 'climax', 'embassi', 'function', 'lack', 'brood', 'menac', 'hitchcock', 'black', 'white', 'lowbudget', 'origin']",jimmi stewart is as ever a great hero for hitchcock the stori rip along to it cool climax at an embassi function but it lack the brood menac of hitchcock black and white lowbudget origin
nevertheless yet another wonderful film from the great masters stable  ,1,"['nevertheless', 'yet', 'another', 'wonderful', 'film', 'great', 'masters', 'stable']","['nevertheless', 'yet', 'another', 'wonderful', 'film', 'great', 'master', 'stable']",nevertheless yet another wonderful film from the great master stable,"['nevertheless', 'yet', 'anoth', 'wonder', 'film', 'great', 'master', 'stabl']",nevertheless yet anoth wonder film from the great master stabl
i have to say that this film was excellently produced and tops the ratings as a typical sci fi film  ,1,"['say', 'film', 'excellently', 'produced', 'tops', 'ratings', 'typical', 'sci', 'fi', 'film']","['say', 'film', 'excellently', 'produced', 'top', 'rating', 'typical', 'sci', 'fi', 'film']",i have to say that this film wa excellently produced and top the rating a a typical sci fi film,"['say', 'film', 'excel', 'produc', 'top', 'rate', 'typic', 'sci', 'fi', 'film']",i have to say that thi film wa excel produc and top the rate as a typic sci fi film
excellently produced by one of scifis best producers scot vandiver   ,1,"['excellently', 'produced', 'one', 'scifis', 'best', 'producers', 'scot', 'vandiver']","['excellently', 'produced', 'one', 'scifis', 'best', 'producer', 'scot', 'vandiver']",excellently produced by one of scifis best producer scot vandiver,"['excel', 'produc', 'one', 'scifi', 'best', 'produc', 'scot', 'vandiv']",excel produc by one of scifi best produc scot vandiv
but it is entertaining nonetheless  ,1,"['entertaining', 'nonetheless']","['entertaining', 'nonetheless']",but it is entertaining nonetheless,"['entertain', 'nonetheless']",but it is entertain nonetheless
its a campy sort of film thats a joy to watch  ,1,"['campy', 'sort', 'film', 'thats', 'joy', 'watch']","['campy', 'sort', 'film', 'thats', 'joy', 'watch']",it a campy sort of film thats a joy to watch,"['campi', 'sort', 'film', 'that', 'joy', 'watch']",it a campi sort of film that a joy to watch
theres barely a boring moment in the film and there are plenty of humorous parts  ,1,"['theres', 'barely', 'boring', 'moment', 'film', 'plenty', 'humorous', 'parts']","['there', 'barely', 'boring', 'moment', 'film', 'plenty', 'humorous', 'part']",there barely a boring moment in the film and there are plenty of humorous part,"['there', 'bare', 'bore', 'moment', 'film', 'plenti', 'humor', 'part']",there bare a bore moment in the film and there are plenti of humor part
the cast is always entertaining as usual  ,1,"['cast', 'always', 'entertaining', 'usual']","['cast', 'always', 'entertaining', 'usual']",the cast is always entertaining a usual,"['cast', 'alway', 'entertain', 'usual']",the cast is alway entertain as usual
overall a delight  ,1,"['overall', 'delight']","['overall', 'delight']",overall a delight,"['overal', 'delight']",overal a delight
this movie is so mindbendingly awful it couldnt have even been created  ,0,"['movie', 'mindbendingly', 'awful', 'couldnt', 'even', 'created']","['movie', 'mindbendingly', 'awful', 'couldnt', 'even', 'created']",this movie is so mindbendingly awful it couldnt have even been created,"['movi', 'mindbendingli', 'aw', 'couldnt', 'even', 'creat']",thi movi is so mindbendingli aw it couldnt have even been creat
the film lacks any real scares or tension  some of the medical terminology used throughout is a bit iffy to say the least  i say that as an insulin dependant diabetic myself  ,0,"['film', 'lacks', 'real', 'scares', 'tension', 'medical', 'terminology', 'used', 'throughout', 'bit', 'iffy', 'say', 'least', 'say', 'insulin', 'dependant', 'diabetic']","['film', 'lack', 'real', 'scare', 'tension', 'medical', 'terminology', 'used', 'throughout', 'bit', 'iffy', 'say', 'least', 'say', 'insulin', 'dependant', 'diabetic']",the film lack any real scare or tension some of the medical terminology used throughout is a bit iffy to say the least i say that a an insulin dependant diabetic myself,"['film', 'lack', 'real', 'scare', 'tension', 'medic', 'terminolog', 'use', 'throughout', 'bit', 'iffi', 'say', 'least', 'say', 'insulin', 'depend', 'diabet']",the film lack ani real scare or tension some of the medic terminolog use throughout is a bit iffi to say the least i say that as an insulin depend diabet myself
the least said about the acting the better  ,0,"['least', 'said', 'acting', 'better']","['least', 'said', 'acting', 'better']",the least said about the acting the better,"['least', 'said', 'act', 'better']",the least said about the act the better
this movie does an excellent job of revealing the complexity of the task and the incredible challenges facing south africa  ,1,"['movie', 'excellent', 'job', 'revealing', 'complexity', 'task', 'incredible', 'challenges', 'facing', 'south', 'africa']","['movie', 'excellent', 'job', 'revealing', 'complexity', 'task', 'incredible', 'challenge', 'facing', 'south', 'africa']",this movie doe an excellent job of revealing the complexity of the task and the incredible challenge facing south africa,"['movi', 'excel', 'job', 'reveal', 'complex', 'task', 'incred', 'challeng', 'face', 'south', 'africa']",thi movi doe an excel job of reveal the complex of the task and the incred challeng face south africa
i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process  ,1,"['believe', 'every', 'one', 'see', 'movie', 'think', 'people', 'outside', 'south', 'africa', 'understand', 'past', 'attempted', 'truth', 'reconciliation', 'process']","['believe', 'every', 'one', 'see', 'movie', 'think', 'people', 'outside', 'south', 'africa', 'understand', 'past', 'attempted', 'truth', 'reconciliation', 'process']",i believe every one should see this movie a i think few people outside of south africa understand it past and what is being attempted in the truth and reconciliation process,"['believ', 'everi', 'one', 'see', 'movi', 'think', 'peopl', 'outsid', 'south', 'africa', 'understand', 'past', 'attempt', 'truth', 'reconcili', 'process']",i believ everi one should see thi movi as i think few peopl outsid of south africa understand it past and what is be attempt in the truth and reconcili process
nothing short of magnificent photographycinematography in this film  ,1,"['nothing', 'short', 'magnificent', 'photographycinematography', 'film']","['nothing', 'short', 'magnificent', 'photographycinematography', 'film']",nothing short of magnificent photographycinematography in this film,"['noth', 'short', 'magnific', 'photographycinematographi', 'film']",noth short of magnific photographycinematographi in thi film
the acting is fantastic the stories are seamlessly woven together and the dogs are splendid a must rent view or see  ,1,"['acting', 'fantastic', 'stories', 'seamlessly', 'woven', 'together', 'dogs', 'splendid', 'must', 'rent', 'view', 'see']","['acting', 'fantastic', 'story', 'seamlessly', 'woven', 'together', 'dog', 'splendid', 'must', 'rent', 'view', 'see']",the acting is fantastic the story are seamlessly woven together and the dog are splendid a must rent view or see,"['act', 'fantast', 'stori', 'seamlessli', 'woven', 'togeth', 'dog', 'splendid', 'must', 'rent', 'view', 'see']",the act is fantast the stori are seamlessli woven togeth and the dog are splendid a must rent view or see
dont be afraid of subtitles its worth a little aversion therapy   ,1,"['dont', 'afraid', 'subtitles', 'worth', 'little', 'aversion', 'therapy']","['dont', 'afraid', 'subtitle', 'worth', 'little', 'aversion', 'therapy']",dont be afraid of subtitle it worth a little aversion therapy,"['dont', 'afraid', 'subtitl', 'worth', 'littl', 'avers', 'therapi']",dont be afraid of subtitl it worth a littl avers therapi
excellent performance  ,1,"['excellent', 'performance']","['excellent', 'performance']",excellent performance,"['excel', 'perform']",excel perform
there still are good actors around  ,1,"['still', 'good', 'actors', 'around']","['still', 'good', 'actor', 'around']",there still are good actor around,"['still', 'good', 'actor', 'around']",there still are good actor around
also great directing and photography  ,1,"['also', 'great', 'directing', 'photography']","['also', 'great', 'directing', 'photography']",also great directing and photography,"['also', 'great', 'direct', 'photographi']",also great direct and photographi
very true to shakespear and a must for all shakespear fans  ,1,"['true', 'shakespear', 'must', 'shakespear', 'fans']","['true', 'shakespear', 'must', 'shakespear', 'fan']",very true to shakespear and a must for all shakespear fan,"['true', 'shakespear', 'must', 'shakespear', 'fan']",veri true to shakespear and a must for all shakespear fan
macbeth jason connery moved me to tears with his final monolog out brief candle outhe gave the sphere of moral decay and dark forces a human face which makes it the more interesting  ,1,"['macbeth', 'jason', 'connery', 'moved', 'tears', 'final', 'monolog', 'brief', 'candle', 'outhe', 'gave', 'sphere', 'moral', 'decay', 'dark', 'forces', 'human', 'face', 'makes', 'interesting']","['macbeth', 'jason', 'connery', 'moved', 'tear', 'final', 'monolog', 'brief', 'candle', 'outhe', 'gave', 'sphere', 'moral', 'decay', 'dark', 'force', 'human', 'face', 'make', 'interesting']",macbeth jason connery moved me to tear with his final monolog out brief candle outhe gave the sphere of moral decay and dark force a human face which make it the more interesting,"['macbeth', 'jason', 'conneri', 'move', 'tear', 'final', 'monolog', 'brief', 'candl', 'outh', 'gave', 'sphere', 'moral', 'decay', 'dark', 'forc', 'human', 'face', 'make', 'interest']",macbeth jason conneri move me to tear with hi final monolog out brief candl outh gave the sphere of moral decay and dark forc a human face which make it the more interest
helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl but deadly in her taste for blood and evil  ,1,"['helen', 'baxendale', 'credible', 'lady', 'macbeth', 'cheerfull', 'times', 'sometimes', 'looks', 'like', 'naughty', 'girl', 'deadly', 'taste', 'blood', 'evil']","['helen', 'baxendale', 'credible', 'lady', 'macbeth', 'cheerfull', 'time', 'sometimes', 'look', 'like', 'naughty', 'girl', 'deadly', 'taste', 'blood', 'evil']",helen baxendale is a very credible lady macbeth who can be very cheerfull at time and sometimes she just look like a naughty girl but deadly in her taste for blood and evil,"['helen', 'baxendal', 'credibl', 'ladi', 'macbeth', 'cheerful', 'time', 'sometim', 'look', 'like', 'naughti', 'girl', 'deadli', 'tast', 'blood', 'evil']",helen baxendal is a veri credibl ladi macbeth who can be veri cheerful at time and sometim she just look like a naughti girl but deadli in her tast for blood and evil
if you love death and decay and shakespears lyrics this is the one  ,1,"['love', 'death', 'decay', 'shakespears', 'lyrics', 'one']","['love', 'death', 'decay', 'shakespears', 'lyric', 'one']",if you love death and decay and shakespears lyric this is the one,"['love', 'death', 'decay', 'shakespear', 'lyric', 'one']",if you love death and decay and shakespear lyric thi is the one
this is a witty and delightful adaptation of the dr seuss book brilliantly animated by upas finest and thoroughly deserving of its academy award  ,1,"['witty', 'delightful', 'adaptation', 'dr', 'seuss', 'book', 'brilliantly', 'animated', 'upas', 'finest', 'thoroughly', 'deserving', 'academy', 'award']","['witty', 'delightful', 'adaptation', 'dr', 'seuss', 'book', 'brilliantly', 'animated', 'upas', 'finest', 'thoroughly', 'deserving', 'academy', 'award']",this is a witty and delightful adaptation of the dr seuss book brilliantly animated by upas finest and thoroughly deserving of it academy award,"['witti', 'delight', 'adapt', 'dr', 'seuss', 'book', 'brilliantli', 'anim', 'upa', 'finest', 'thoroughli', 'deserv', 'academi', 'award']",thi is a witti and delight adapt of the dr seuss book brilliantli anim by upa finest and thoroughli deserv of it academi award
special mention should be made of the superb music score and sound effects which are an integral element in helping to make this such a memorable and enjoyable cartoon  ,1,"['special', 'mention', 'made', 'superb', 'music', 'score', 'sound', 'effects', 'integral', 'element', 'helping', 'make', 'memorable', 'enjoyable', 'cartoon']","['special', 'mention', 'made', 'superb', 'music', 'score', 'sound', 'effect', 'integral', 'element', 'helping', 'make', 'memorable', 'enjoyable', 'cartoon']",special mention should be made of the superb music score and sound effect which are an integral element in helping to make this such a memorable and enjoyable cartoon,"['special', 'mention', 'made', 'superb', 'music', 'score', 'sound', 'effect', 'integr', 'element', 'help', 'make', 'memor', 'enjoy', 'cartoon']",special mention should be made of the superb music score and sound effect which are an integr element in help to make thi such a memor and enjoy cartoon
however paul schrader has indeed made a film about mishima that is both superb  complex  ,1,"['however', 'paul', 'schrader', 'indeed', 'made', 'film', 'mishima', 'superb', 'complex']","['however', 'paul', 'schrader', 'indeed', 'made', 'film', 'mishima', 'superb', 'complex']",however paul schrader ha indeed made a film about mishima that is both superb complex,"['howev', 'paul', 'schrader', 'inde', 'made', 'film', 'mishima', 'superb', 'complex']",howev paul schrader ha inde made a film about mishima that is both superb complex
also notable is john baileys fine crisp beautifully colored cinematography and the great production design  costumes by eiko ishioka who went on to do the memorable costumes for coppolas dracula for which she received a well deserved oscar  ,1,"['also', 'notable', 'john', 'baileys', 'fine', 'crisp', 'beautifully', 'colored', 'cinematography', 'great', 'production', 'design', 'costumes', 'eiko', 'ishioka', 'went', 'memorable', 'costumes', 'coppolas', 'dracula', 'received', 'well', 'deserved', 'oscar']","['also', 'notable', 'john', 'bailey', 'fine', 'crisp', 'beautifully', 'colored', 'cinematography', 'great', 'production', 'design', 'costume', 'eiko', 'ishioka', 'went', 'memorable', 'costume', 'coppola', 'dracula', 'received', 'well', 'deserved', 'oscar']",also notable is john bailey fine crisp beautifully colored cinematography and the great production design costume by eiko ishioka who went on to do the memorable costume for coppola dracula for which she received a well deserved oscar,"['also', 'notabl', 'john', 'bailey', 'fine', 'crisp', 'beauti', 'color', 'cinematographi', 'great', 'product', 'design', 'costum', 'eiko', 'ishioka', 'went', 'memor', 'costum', 'coppola', 'dracula', 'receiv', 'well', 'deserv', 'oscar']",also notabl is john bailey fine crisp beauti color cinematographi and the great product design costum by eiko ishioka who went on to do the memor costum for coppola dracula for which she receiv a well deserv oscar
even allowing for poor production values for the time  and the format some kind of miniseries this is baaaaaad  ,0,"['even', 'allowing', 'poor', 'production', 'values', 'time', 'format', 'kind', 'miniseries', 'baaaaaad']","['even', 'allowing', 'poor', 'production', 'value', 'time', 'format', 'kind', 'miniseries', 'baaaaaad']",even allowing for poor production value for the time and the format some kind of miniseries this is baaaaaad,"['even', 'allow', 'poor', 'product', 'valu', 'time', 'format', 'kind', 'miniseri', 'baaaaaad']",even allow for poor product valu for the time and the format some kind of miniseri thi is baaaaaad
unless youre just out to visually collect all extant films of austens work you can skip this one  ,0,"['unless', 'youre', 'visually', 'collect', 'extant', 'films', 'austens', 'work', 'skip', 'one']","['unless', 'youre', 'visually', 'collect', 'extant', 'film', 'austen', 'work', 'skip', 'one']",unless youre just out to visually collect all extant film of austen work you can skip this one,"['unless', 'your', 'visual', 'collect', 'extant', 'film', 'austen', 'work', 'skip', 'one']",unless your just out to visual collect all extant film of austen work you can skip thi one
if you do watch it however there are small consolations the actresses playing annes sisters each do a wonderful job with their roles  ,1,"['watch', 'however', 'small', 'consolations', 'actresses', 'playing', 'annes', 'sisters', 'wonderful', 'job', 'roles']","['watch', 'however', 'small', 'consolation', 'actress', 'playing', 'anne', 'sister', 'wonderful', 'job', 'role']",if you do watch it however there are small consolation the actress playing anne sister each do a wonderful job with their role,"['watch', 'howev', 'small', 'consol', 'actress', 'play', 'ann', 'sister', 'wonder', 'job', 'role']",if you do watch it howev there are small consol the actress play ann sister each do a wonder job with their role
it is not good  ,0,['good'],['good'],it is not good,['good'],it is not good
speaking of the music it is unbearably predictably and kitchy  ,0,"['speaking', 'music', 'unbearably', 'predictably', 'kitchy']","['speaking', 'music', 'unbearably', 'predictably', 'kitchy']",speaking of the music it is unbearably predictably and kitchy,"['speak', 'music', 'unbear', 'predict', 'kitchi']",speak of the music it is unbear predict and kitchi
then the film just dropped the ball  ,0,"['film', 'dropped', 'ball']","['film', 'dropped', 'ball']",then the film just dropped the ball,"['film', 'drop', 'ball']",then the film just drop the ball
this is a stunning movie  ,1,"['stunning', 'movie']","['stunning', 'movie']",this is a stunning movie,"['stun', 'movi']",thi is a stun movi
raw and sublimely moving  ,1,"['raw', 'sublimely', 'moving']","['raw', 'sublimely', 'moving']",raw and sublimely moving,"['raw', 'sublim', 'move']",raw and sublim move
it felt like a very gripping intelligent stage play but without the overly theatrical feeling one actually gets from watching people on a stage which plays on everyones terror of a white lie escalating to monstrous consequences  ,1,"['felt', 'like', 'gripping', 'intelligent', 'stage', 'play', 'without', 'overly', 'theatrical', 'feeling', 'one', 'actually', 'gets', 'watching', 'people', 'stage', 'plays', 'everyones', 'terror', 'white', 'lie', 'escalating', 'monstrous', 'consequences']","['felt', 'like', 'gripping', 'intelligent', 'stage', 'play', 'without', 'overly', 'theatrical', 'feeling', 'one', 'actually', 'get', 'watching', 'people', 'stage', 'play', 'everyones', 'terror', 'white', 'lie', 'escalating', 'monstrous', 'consequence']",it felt like a very gripping intelligent stage play but without the overly theatrical feeling one actually get from watching people on a stage which play on everyones terror of a white lie escalating to monstrous consequence,"['felt', 'like', 'grip', 'intellig', 'stage', 'play', 'without', 'overli', 'theatric', 'feel', 'one', 'actual', 'get', 'watch', 'peopl', 'stage', 'play', 'everyon', 'terror', 'white', 'lie', 'escal', 'monstrou', 'consequ']",it felt like a veri grip intellig stage play but without the overli theatric feel one actual get from watch peopl on a stage which play on everyon terror of a white lie escal to monstrou consequ
all of the main players are mesmerising  ,1,"['main', 'players', 'mesmerising']","['main', 'player', 'mesmerising']",all of the main player are mesmerising,"['main', 'player', 'mesmeris']",all of the main player are mesmeris
tom wilkinson broke my heart at the end and everyone elses judging by the amount of fumbling for hankies and hands going up to faces among males and females alike  ,1,"['tom', 'wilkinson', 'broke', 'heart', 'end', 'everyone', 'elses', 'judging', 'amount', 'fumbling', 'hankies', 'hands', 'going', 'faces', 'among', 'males', 'females', 'alike']","['tom', 'wilkinson', 'broke', 'heart', 'end', 'everyone', 'el', 'judging', 'amount', 'fumbling', 'hanky', 'hand', 'going', 'face', 'among', 'male', 'female', 'alike']",tom wilkinson broke my heart at the end and everyone el judging by the amount of fumbling for hanky and hand going up to face among male and female alike,"['tom', 'wilkinson', 'broke', 'heart', 'end', 'everyon', 'els', 'judg', 'amount', 'fumbl', 'hanki', 'hand', 'go', 'face', 'among', 'male', 'femal', 'alik']",tom wilkinson broke my heart at the end and everyon els judg by the amount of fumbl for hanki and hand go up to face among male and femal alik
julian fellowes has triumphed again  ,1,"['julian', 'fellowes', 'triumphed']","['julian', 'fellowes', 'triumphed']",julian fellowes ha triumphed again,"['julian', 'fellow', 'triumph']",julian fellow ha triumph again
hes a national treasure  ,1,"['hes', 'national', 'treasure']","['he', 'national', 'treasure']",he a national treasure,"['he', 'nation', 'treasur']",he a nation treasur
go and see it  ,1,"['go', 'see']","['go', 'see']",go and see it,"['go', 'see']",go and see it
this is an excellent film  ,1,"['excellent', 'film']","['excellent', 'film']",this is an excellent film,"['excel', 'film']",thi is an excel film
the aerial scenes were welldone  ,1,"['aerial', 'scenes', 'welldone']","['aerial', 'scene', 'welldone']",the aerial scene were welldone,"['aerial', 'scene', 'welldon']",the aerial scene were welldon
it was also the right balance of war and love  ,1,"['also', 'right', 'balance', 'war', 'love']","['also', 'right', 'balance', 'war', 'love']",it wa also the right balance of war and love,"['also', 'right', 'balanc', 'war', 'love']",it wa also the right balanc of war and love
the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few  ,1,"['film', 'gives', 'meaning', 'phrase', 'never', 'history', 'human', 'conflict', 'much', 'owed', 'many']","['film', 'give', 'meaning', 'phrase', 'never', 'history', 'human', 'conflict', 'much', 'owed', 'many']",the film give meaning to the phrase never in the history of human conflict ha so much been owed by so many to so few,"['film', 'give', 'mean', 'phrase', 'never', 'histori', 'human', 'conflict', 'much', 'owe', 'mani']",the film give mean to the phrase never in the histori of human conflict ha so much been owe by so mani to so few
kris kristoffersen is good in this movie and really makes a difference  ,1,"['kris', 'kristoffersen', 'good', 'movie', 'really', 'makes', 'difference']","['kris', 'kristoffersen', 'good', 'movie', 'really', 'make', 'difference']",kris kristoffersen is good in this movie and really make a difference,"['kri', 'kristoffersen', 'good', 'movi', 'realli', 'make', 'differ']",kri kristoffersen is good in thi movi and realli make a differ
a good film by a great director  ,1,"['good', 'film', 'great', 'director']","['good', 'film', 'great', 'director']",a good film by a great director,"['good', 'film', 'great', 'director']",a good film by a great director
this is definitely one of the better documentaries i have seen looking at family relationships and marriage  ,1,"['definitely', 'one', 'better', 'documentaries', 'seen', 'looking', 'family', 'relationships', 'marriage']","['definitely', 'one', 'better', 'documentary', 'seen', 'looking', 'family', 'relationship', 'marriage']",this is definitely one of the better documentary i have seen looking at family relationship and marriage,"['definit', 'one', 'better', 'documentari', 'seen', 'look', 'famili', 'relationship', 'marriag']",thi is definit one of the better documentari i have seen look at famili relationship and marriag
there are many continuity errors one other user commented on different cars in the garage joes glassesthe one that got to me the most was the fact joes facial hair configuration seemed to change from scene to scene  ,0,"['many', 'continuity', 'errors', 'one', 'user', 'commented', 'different', 'cars', 'garage', 'joes', 'glassesthe', 'one', 'got', 'fact', 'joes', 'facial', 'hair', 'configuration', 'seemed', 'change', 'scene', 'scene']","['many', 'continuity', 'error', 'one', 'user', 'commented', 'different', 'car', 'garage', 'joes', 'glassesthe', 'one', 'got', 'fact', 'joes', 'facial', 'hair', 'configuration', 'seemed', 'change', 'scene', 'scene']",there are many continuity error one other user commented on different car in the garage joes glassesthe one that got to me the most wa the fact joes facial hair configuration seemed to change from scene to scene,"['mani', 'continu', 'error', 'one', 'user', 'comment', 'differ', 'car', 'garag', 'joe', 'glassesth', 'one', 'got', 'fact', 'joe', 'facial', 'hair', 'configur', 'seem', 'chang', 'scene', 'scene']",there are mani continu error one other user comment on differ car in the garag joe glassesth one that got to me the most wa the fact joe facial hair configur seem to chang from scene to scene
this is just a great movie  ,1,"['great', 'movie']","['great', 'movie']",this is just a great movie,"['great', 'movi']",thi is just a great movi
 out of  stars  ,1,['stars'],['star'],out of star,['star'],out of star
i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection  ,0,"['cant', 'see', 'movie', 'inspiration', 'anyone', 'come', 'overcome', 'fear', 'rejection']","['cant', 'see', 'movie', 'inspiration', 'anyone', 'come', 'overcome', 'fear', 'rejection']",i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection,"['cant', 'see', 'movi', 'inspir', 'anyon', 'come', 'overcom', 'fear', 'reject']",i cant see how thi movi can be an inspir to anyon to come out or overcom fear and reject
its so bad its actually worth seeing just for that reason  ,0,"['bad', 'actually', 'worth', 'seeing', 'reason']","['bad', 'actually', 'worth', 'seeing', 'reason']",it so bad it actually worth seeing just for that reason,"['bad', 'actual', 'worth', 'see', 'reason']",it so bad it actual worth see just for that reason
punishment park is a brilliant piece of cinema  ,1,"['punishment', 'park', 'brilliant', 'piece', 'cinema']","['punishment', 'park', 'brilliant', 'piece', 'cinema']",punishment park is a brilliant piece of cinema,"['punish', 'park', 'brilliant', 'piec', 'cinema']",punish park is a brilliant piec of cinema
shot in the southern california desert using his patent faux documentary style watkins creates a film like no other  ,1,"['shot', 'southern', 'california', 'desert', 'using', 'patent', 'faux', 'documentary', 'style', 'watkins', 'creates', 'film', 'like']","['shot', 'southern', 'california', 'desert', 'using', 'patent', 'faux', 'documentary', 'style', 'watkins', 'creates', 'film', 'like']",shot in the southern california desert using his patent faux documentary style watkins creates a film like no other,"['shot', 'southern', 'california', 'desert', 'use', 'patent', 'faux', 'documentari', 'style', 'watkin', 'creat', 'film', 'like']",shot in the southern california desert use hi patent faux documentari style watkin creat a film like no other
